room_type,accommodates,bathrooms,cancellation_policy,cleaning_fee,instant_bookable,review_scores_rating,bedrooms,beds,log_price,,,
Entire home/apt,3,1,strict,1,f,100,1,1,5.010635294,,,
Entire home/apt,7,1,strict,1,t,93,3,3,5.129898715,,,
Entire home/apt,5,1,moderate,1,t,92,1,3,4.976733742,,,
Entire home/apt,4,1,flexible,1,f,96,2,2,6.620073207,,,
Entire home/apt,2,1,moderate,1,t,40,0,1,4.744932128,,,
Private room,2,1,strict,1,t,100,1,1,4.442651256,,,
Entire home/apt,3,1,moderate,1,t,97,1,1,4.418840608,,,
Entire home/apt,2,1,moderate,1,f,93,1,1,4.787491743,,,
Private room,2,1,moderate,1,f,99,1,1,4.787491743,,,
Private room,2,1,moderate,1,t,90,1,1,3.583518938,,,
Private room,2,1,strict,1,f,93,1,1,4.605170186,,,
Entire home/apt,4,1.5,strict,1,f,97,2,2,5.010635294,,,
Private room,2,1,flexible,1,f,96,1,1,4.248495242,,,
Entire home/apt,6,1.5,strict,1,t,89,2,3,5.298317367,,,
Entire home/apt,2,1,strict,1,f,100,1,1,4.955827058,,,
Private room,2,1.5,moderate,1,f,96,1,1,4.094344562,,,
Private room,2,1,strict,0,f,91,1,1,4.317488114,,,
Private room,2,2,strict,1,f,88,1,1,4.59511985,,,
Entire home/apt,2,1,strict,1,f,86,1,2,4.882801923,,,
Entire home/apt,8,1,strict,1,t,72,3,3,4.59511985,,,
Private room,2,1,strict,1,f,98,1,1,4.382026635,,,
Private room,2,1.5,strict,1,f,89,1,1,3.688879454,,,
Entire home/apt,4,1,moderate,1,t,99,1,1,4.905274778,,,
Private room,2,1,moderate,1,f,100,1,1,4.007333185,,,
Entire home/apt,4,1,moderate,1,f,96,1,2,6.956545443,,,
Entire home/apt,6,1,strict,1,f,100,3,3,5.003946306,,,
Entire home/apt,2,1,flexible,1,f,100,1,1,4.553876892,,,
Entire home/apt,4,1,strict,1,f,100,2,2,5.003946306,,,
Entire home/apt,3,1,flexible,1,f,95,1,2,5.192956851,,,
Private room,3,1,strict,1,f,88,1,2,4.65396035,,,
Private room,2,1,strict,1,f,100,1,1,4.317488114,,,
Private room,2,1,strict,1,f,96,1,1,3.828641396,,,
Entire home/apt,4,1,strict,1,f,96,2,3,5.220355825,,,
Private room,1,1,moderate,1,f,99,1,1,4.48863637,,,
Entire home/apt,4,1,flexible,1,t,96,1,2,4.356708827,,,
